ID,Название,Цена,Город,Промо цена,Ссылка
60291,Конструктор LEGO My City Современный дом для семьи ,4 499,Регион не выбран,2 759,https://www.detmir.ru/product/index/id/3405578/
10946,Конструктор LEGO DUPLO Town Семейное приключение на микроавтобусе ,2 499,Регион не выбран,1 529,https://www.detmir.ru/product/index/id/3596755/
41428,Конструктор LEGO Friends Пляжный домик ,4 499,Регион не выбран,2 819,https://www.detmir.ru/product/index/id/3244511/
41681,Конструктор LEGO Friends Лесной дом на колесах и парусная лодка ,4 499,Регион не выбран,2 549,https://www.detmir.ru/product/index/id/3596781/
76903,Конструктор LEGO Speed Champions Chevrolet Corvette C8.R Race Car and 1968 Chevrolet Corvette ,3 699,Регион не выбран,2 179,https://www.detmir.ru/product/index/id/3597049/
71735,Конструктор LEGO Ninjago Турнир стихий ,2 599,Регион не выбран,1 819,https://www.detmir.ru/product/index/id/3405624/
43193,Конструктор LEGO Disney Princess Книга сказочных приключений Ариэль Белль Золушки и Тианы ,1 999,Регион не выбран,1 479,https://www.detmir.ru/product/index/id/3596878/
42117,Конструктор LEGO Technic Гоночный самолёт ,899,Регион не выбран,699,https://www.detmir.ru/product/index/id/3405646/
10899,Конструктор LEGO DUPLO Princess Ледяной замок ,4 499,Регион не выбран,2 699,https://www.detmir.ru/product/index/id/3188096/
42112,Конструктор LEGO Technic Бетономешалка ,9 499,Регион не выбран,5 939,https://www.detmir.ru/product/index/id/3244613/
60288,Конструктор LEGO City Great Vehicles Транспортировка карта ,1 499,Регион не выбран,939,https://www.detmir.ru/product/index/id/3405593/
76173,Конструктор LEGO DC Super Heroes Человек-Паук и Призрачный Гонщик против Карнажа ,1 799,Регион не выбран,1 649,https://www.detmir.ru/product/index/id/3405600/
60251,Конструктор LEGO City Great Vehicles Монстр-трак ,749,Регион не выбран,449,https://www.detmir.ru/product/index/id/3226678/
71721,Конструктор LEGO Ninjago Дракон чародея-скелета ,7 499,Регион не выбран,4 499,https://www.detmir.ru/product/index/id/3244591/
60303,Конструктор LEGO City Occasions Новогодний календарь ,Нет Цены,Регион не выбран,1 699,https://www.detmir.ru/product/index/id/3777764/
60258,Конструктор LEGO City Nitro Wheels Тюнинг-мастерская ,8 999,Регион не выбран,5 089,https://www.detmir.ru/product/index/id/3226695/
76382,Конструктор LEGO Harry Potter Учёба в Хогвартсе Урок трансфигурации ,2 799,Регион не выбран,1 749,https://www.detmir.ru/product/index/id/3405632/
21151,Конструктор LEGO Minecraft Последняя битва ,1 799,Регион не выбран,1 249,https://www.detmir.ru/product/index/id/3144136/
41446,Конструктор LEGO Friends Ветеринарная клиника Хартлейк-Сити ,3 599,Регион не выбран,2 339,https://www.detmir.ru/product/index/id/3405555/
31100,Конструктор LEGO Creator Спортивный автомобиль ,899,Регион не выбран,579,https://www.detmir.ru/product/index/id/3226589/
42125,Конструктор LEGO Technic Ferrari 488 GTE ,16 899,Регион не выбран,10 489,https://www.detmir.ru/product/index/id/3405655/
76194,Конструктор LEGO Super Heroes Железный Человек Тони Старка на Сакааре ,2 999,Регион не выбран,1 839,https://www.detmir.ru/product/index/id/3597031/
10932,Конструктор LEGO DUPLO Шаровой таран ,4 999,Регион не выбран,2 999,https://www.detmir.ru/product/index/id/3244479/
71720,Конструктор LEGO Ninjago Каменный робот огня ,6 499,Регион не выбран,3 739,https://www.detmir.ru/product/index/id/3244590/
71031,Конструктор LEGO Минифигурки в непрозрачной упаковке Сюрприз ,Нет Цены,Регион не выбран,279,https://www.detmir.ru/product/index/id/3777768/
41424,Конструктор LEGO Friends Штаб спасателей ,7 499,Регион не выбран,4 479,https://www.detmir.ru/product/index/id/3244510/
41441,Конструктор LEGO Friends Тренировка лошади и прицеп для перевозки ,2 499,Регион не выбран,1 499,https://www.detmir.ru/product/index/id/3596772/
41924,Конструктор LEGO Dots Секретная шкатулка ,1 759,Регион не выбран,1 599,https://www.detmir.ru/product/index/id/3405563/
10886,Конструктор LEGO DUPLO My First Мои первые машинки ,1 599,Регион не выбран,979,https://www.detmir.ru/product/index/id/3142016/
60253,Конструктор LEGO City Great Vehicles Грузовик мороженщика ,1 499,Регион не выбран,969,https://www.detmir.ru/product/index/id/3226680/
75318,Конструктор LEGO Star Wars Малыш ,7 499,Регион не выбран,4 539,https://www.detmir.ru/product/index/id/3396151/
10698,Конструктор LEGO Classic Набор для творчества большого размера ,3 799,Регион не выбран,2 339,https://www.detmir.ru/product/index/id/619001/
75968,Конструктор LEGO Harry Potter Тисовая улица дом 4 ,6 499,Регион не выбран,3 889,https://www.detmir.ru/product/index/id/3244598/
31111,Конструктор LEGO Creator Кибердрон ,899,Регион не выбран,569,https://www.detmir.ru/product/index/id/3405537/
10942,Конструктор LEGO DUPLO Disney Дом и кафе Минни ,4 499,Регион не выбран,2 859,https://www.detmir.ru/product/index/id/3596717/
71739,Конструктор LEGO Ninjago Сверхзвуковой самолёт ,8 499,Регион не выбран,5 149,https://www.detmir.ru/product/index/id/3596973/
76171,Конструктор LEGO DC Super Heroes Майлс Моралес Робот ,999,Регион не выбран,649,https://www.detmir.ru/product/index/id/3405603/
71369,Конструктор LEGO Super Mario Битва в замке Боузера ,8 999,Регион не выбран,5 399,https://www.detmir.ru/product/index/id/3244579/
76384,Конструктор LEGO Harry Potter Учёба в Хогвартсе Урок травологии ,2 799,Регион не выбран,1 649,https://www.detmir.ru/product/index/id/3405634/
41677,Конструктор LEGO Friends Лесной водопад ,799,Регион не выбран,529,https://www.detmir.ru/product/index/id/3596779/
60287,Конструктор LEGO City Great Vehicles Трактор ,1 499,Регион не выбран,969,https://www.detmir.ru/product/index/id/3405592/
21163,Конструктор LEGO Minecraft Битва за красную пыль ,4 699,Регион не выбран,3 919,https://www.detmir.ru/product/index/id/3244601/
41689,Конструктор LEGO Friends Волшебное колесо обозрения и горка ,5 499,Регион не выбран,3 129,https://www.detmir.ru/product/index/id/3596800/
10873,Конструктор LEGO DUPLO Disney День рождения Минни ,1 699,Регион не выбран,1 529,https://www.detmir.ru/product/index/id/3092799/
71700,Конструктор LEGO Ninjago Тропический внедорожник ,799,Регион не выбран,529,https://www.detmir.ru/product/index/id/3226704/
21174,Конструктор LEGO Minecraft Современный домик на дереве ,11 499,Регион не выбран,6 919,https://www.detmir.ru/product/index/id/3596767/
10700,Конструктор LEGO Classic Строительная пластина зеленого цвета ,699,Регион не выбран,449,https://www.detmir.ru/product/index/id/618981/
71755,Конструктор LEGO Ninjago Храм Бескрайнего моря ,9 999,Регион не выбран,6 089,https://www.detmir.ru/product/index/id/3597019/
71389,Конструктор LEGO Super Mario Небесный мир лакиту ,3 699,Регион не выбран,2 349,https://www.detmir.ru/product/index/id/3596927/
76151,Конструктор LEGO Super Heroes Человек-Паук Засада на веномозавра ,7 499,Регион не выбран,4 869,https://www.detmir.ru/product/index/id/3244553/
76902,Конструктор LEGO Speed Champions McLaren Elva ,1 799,Регион не выбран,1 129,https://www.detmir.ru/product/index/id/3597048/
76941,Конструктор LEGO Jurassic World Погоня за карнотавром ,4 599,Регион не выбран,3 719,https://www.detmir.ru/product/index/id/3597053/
43189,Конструктор LEGO Disney Princess Книга сказочных приключений Эльзы и Нока ,1 699,Регион не выбран,1 099,https://www.detmir.ru/product/index/id/3405546/
43181,Конструктор LEGO Disney Princess Райя и Дворец сердца ,7 499,Регион не выбран,4 499,https://www.detmir.ru/product/index/id/3498471/
75312,Конструктор LEGO Star Wars Звездолет Бобы Фетта ,4 699,Регион не выбран,2 989,https://www.detmir.ru/product/index/id/3597023/
76174,Конструктор LEGO DC Super Heroes Монстр-трак Человека-Паука против Мистерио ,4 699,Регион не выбран,2 729,https://www.detmir.ru/product/index/id/3405601/
42103,Конструктор LEGO Technic Драгстер ,1 699,Регион не выбран,1 099,https://www.detmir.ru/product/index/id/3226627/
71709,Конструктор LEGO Ninjago Скоростные машины Джея и Ллойда ,2 599,Регион не выбран,1 739,https://www.detmir.ru/product/index/id/3226709/
76942,Конструктор LEGO Jurassic World Побег барионикса на катере ,7 499,Регион не выбран,4 769,https://www.detmir.ru/product/index/id/3597054/
76196,Конструктор LEGO Super Heroes Новогодний календарь ,2 799,Регион не выбран,2 079,https://www.detmir.ru/product/index/id/3777766/
41394,Конструктор LEGO Friends Городская больница Хартлейк Сити ,5 499,Регион не выбран,3 419,https://www.detmir.ru/product/index/id/3226604/
10901,Конструктор LEGO DUPLO Town Пожарная машина ,1 499,Регион не выбран,969,https://www.detmir.ru/product/index/id/3142022/
